State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
9,1,10,42101,1,41.170833,-73.194722,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48i-TLE,2016,Parts per million,No Events,8184,93,Y,355,366,0,600,0.0,0.0,Certified,0,0.359908,0.199119,2.989,2016-01-26 08:00,2.525,2016-01-26 07:00,2.383,2016-11-03 07:00,2.334,2016-01-07 07:00,,,,,1.113,0.886,0.679,0.568,0.445,0.318,0.178,Roosevelt School-Bridgeport,ROOSEVELT SCHOOL PARK AVE.,Connecticut,Fairfield,Bridgeport,"Bridgeport-Stamford-Norwalk, CT",2017-03-31,[ 41.170833 -73.194722],"{'Commercial and Services': 0.14, 'Residential': 0.63, 'Industrial': 0.04, 'Transportation, communications and services': 0.19}"
9,1,10,42101,1,41.170833,-73.194722,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2016,Parts per million,No Events,8531,97,Y,349,366,0,0,0.0,0.0,Certified,0,0.35902,0.170673,1.7,2016-01-26 08:00,1.7,2016-01-26 09:00,1.6,2016-01-26 10:00,1.6,2016-01-26 11:00,1.7,2016-01-26 08:00,1.5,2016-11-03 07:00,1.0,0.8,0.6,0.5,0.4,0.3,0.2,Roosevelt School-Bridgeport,ROOSEVELT SCHOOL PARK AVE.,Connecticut,Fairfield,Bridgeport,"Bridgeport-Stamford-Norwalk, CT",2017-03-31,[ 41.170833 -73.194722],"{'Commercial and Services': 0.14, 'Residential': 0.63, 'Industrial': 0.04, 'Transportation, communications and services': 0.19}"
9,1,10,42401,1,41.170833,-73.194722,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE,2016,Parts per billion,No Events,8589,98,Y,360,366,0,195,0.0,,Certified,0,0.949167,0.70809,5.5,2016-01-07 19:00,4.1,2016-07-14 16:00,3.7,2016-01-26 08:00,3.2,2016-01-06 22:00,,,,,3.2,2.8,2.4,2.0,1.2,0.8,0.3,Roosevelt School-Bridgeport,ROOSEVELT SCHOOL PARK AVE.,Connecticut,Fairfield,Bridgeport,"Bridgeport-Stamford-Norwalk, CT",2017-03-29,[ 41.170833 -73.194722],"{'Commercial and Services': 0.14, 'Residential': 0.63, 'Industrial': 0.04, 'Transportation, communications and services': 0.19}"
9,1,10,42401,1,41.170833,-73.194722,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE,2016,Parts per billion,No Events,8589,98,Y,360,366,0,195,,,Certified,0,0.476482,0.489766,5.5,2016-01-07 19:00,5.1,2016-01-07 17:00,4.9,2016-01-07 18:00,4.7,2016-01-07 07:00,,,,,2.2,1.9,1.4,1.0,0.6,0.4,0.0,Roosevelt School-Bridgeport,ROOSEVELT SCHOOL PARK AVE.,Connecticut,Fairfield,Bridgeport,"Bridgeport-Stamford-Norwalk, CT",2017-03-29,[ 41.170833 -73.194722],"{'Commercial and Services': 0.14, 'Residential': 0.63, 'Industrial': 0.04, 'Transportation, communications and services': 0.19}"
9,1,10,42401,1,41.170833,-73.194722,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2016,Parts per billion,No Events,360,98,Y,360,366,0,0,0.0,,Certified,0,0.480833,0.423468,3.6,2016-01-07 00:00,2.2,2016-01-06 00:00,2.2,2016-01-14 00:00,2.0,2016-01-26 00:00,,,,,2.0,1.6,1.3,1.0,0.6,0.4,0.1,Roosevelt School-Bridgeport,ROOSEVELT SCHOOL PARK AVE.,Connecticut,Fairfield,Bridgeport,"Bridgeport-Stamford-Norwalk, CT",2017-03-29,[ 41.170833 -73.194722],"{'Commercial and Services': 0.14, 'Residential': 0.63, 'Industrial': 0.04, 'Transportation, communications and services': 0.19}"
9,1,10,42401,1,41.170833,-73.194722,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2016,Parts per billion,No Events,2800,96,Y,359,366,0,0,,0.0,Certified,0,0.4485,0.470249,4.9,2016-01-07 20:00,4.4,2016-01-07 08:00,3.6,2016-01-07 05:00,3.2,2016-01-07 11:00,,,,,2.1,1.9,1.4,1.0,0.6,0.3,0.0,Roosevelt School-Bridgeport,ROOSEVELT SCHOOL PARK AVE.,Connecticut,Fairfield,Bridgeport,"Bridgeport-Stamford-Norwalk, CT",2017-03-29,[ 41.170833 -73.194722],"{'Commercial and Services': 0.14, 'Residential': 0.63, 'Industrial': 0.04, 'Transportation, communications and services': 0.19}"
9,1,10,42401,3,41.170833,-73.194722,WGS84,Sulfur dioxide,5 MINUTE,,Observed Values,INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE,2016,Parts per billion,No Events,100858,96,Y,361,366,0,4547,,,Certification not required,0,0.47709,0.503715,13.3,2016-07-14 16:15,9.2,2016-07-01 23:40,8.1,2016-05-14 00:05,7.7,2016-07-14 16:20,,,,,2.3,2.0,1.5,1.1,0.6,0.4,0.0,Roosevelt School-Bridgeport,ROOSEVELT SCHOOL PARK AVE.,Connecticut,Fairfield,Bridgeport,"Bridgeport-Stamford-Norwalk, CT",2017-03-29,[ 41.170833 -73.194722],"{'Commercial and Services': 0.14, 'Residential': 0.63, 'Industrial': 0.04, 'Transportation, communications and services': 0.19}"
9,1,10,62101,1,41.170833,-73.194722,WGS84,Outdoor Temperature,1 HOUR,,Observed Values,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,2016,Degrees Fahrenheit,No Events,8733,99,Y,362,366,0,51,,,Certification not required,0,55.679721,17.282611,97.0,2016-07-23 14:00,97.0,2016-07-23 15:00,97.0,2016-07-23 16:00,97.0,2016-08-14 15:00,,,,,90.0,87.0,83.0,79.0,70.0,54.0,34.0,Roosevelt School-Bridgeport,ROOSEVELT SCHOOL PARK AVE.,Connecticut,Fairfield,Bridgeport,"Bridgeport-Stamford-Norwalk, CT",2017-04-03,[ 41.170833 -73.194722],"{'Commercial and Services': 0.14, 'Residential': 0.63, 'Industrial': 0.04, 'Transportation, communications and services': 0.19}"
9,1,10,81102,1,41.170833,-73.194722,WGS84,PM10 Total 0-10um STP,24 HOUR,PM10 24-hour 2006,Daily Mean,R - P Co Partisol Model 2025 - Gravimetric,2016,Micrograms/cubic meter (25 C),No Events,56,92,Y,56,61,0,5,0.0,0.0,Certified,0,14.053571,7.583282,36.0,2016-03-07 00:00,30.0,2016-01-07 00:00,27.0,2016-06-23 00:00,26.0,2016-03-31 00:00,,,,,36.0,30.0,27.0,25.0,19.0,14.0,5.0,Roosevelt School-Bridgeport,ROOSEVELT SCHOOL PARK AVE.,Connecticut,Fairfield,Bridgeport,"Bridgeport-Stamford-Norwalk, CT",2017-03-29,[ 41.170833 -73.194722],"{'Commercial and Services': 0.14, 'Residential': 0.63, 'Industrial': 0.04, 'Transportation, communications and services': 0.19}"
9,1,10,85101,1,41.170833,-73.194722,WGS84,PM10 - LC,24 HOUR,,Observed Values,R - P Co Partisol Model 2025 - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,56,92,Y,56,61,0,5,,,Certification not required,0,14.714286,7.93087,39.0,2016-03-07 00:00,33.0,2016-01-07 00:00,27.0,2016-03-31 00:00,27.0,2016-06-23 00:00,,,,,39.0,33.0,27.0,26.0,20.0,14.0,5.0,Roosevelt School-Bridgeport,ROOSEVELT SCHOOL PARK AVE.,Connecticut,Fairfield,Bridgeport,"Bridgeport-Stamford-Norwalk, CT",2017-03-29,[ 41.170833 -73.194722],"{'Commercial and Services': 0.14, 'Residential': 0.63, 'Industrial': 0.04, 'Transportation, communications and services': 0.19}"
9,1,10,86101,1,41.170833,-73.194722,WGS84,PM10-2.5 - Local Conditions,24 HOUR,,Observed Values,Thermo Scientific Partisol-Plus Model 2025 Sequential Sampler Pair - Paired Gravimetric,2016,Micrograms/cubic meter (LC),No Events,55,90,Y,55,61,0,6,,,Certification not required,0,7.778182,4.572449,18.7,2016-03-31 00:00,16.4,2016-06-23 00:00,16.3,2016-03-07 00:00,15.2,2016-10-21 00:00,,,,,18.7,16.4,16.3,14.7,10.8,7.1,2.3,Roosevelt School-Bridgeport,ROOSEVELT SCHOOL PARK AVE.,Connecticut,Fairfield,Bridgeport,"Bridgeport-Stamford-Norwalk, CT",2017-03-29,[ 41.170833 -73.194722],"{'Commercial and Services': 0.14, 'Residential': 0.63, 'Industrial': 0.04, 'Transportation, communications and services': 0.19}"
9,1,10,88101,1,41.170833,-73.194722,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,55,90,Y,55,61,0,6,0.0,0.0,Certified,0,7.783636,4.106804,22.8,2016-03-07 00:00,20.3,2016-01-07 00:00,13.6,2016-02-12 00:00,13.6,2016-12-14 00:00,,,,,22.8,20.3,13.6,12.8,9.6,6.9,3.7,Roosevelt School-Bridgeport,ROOSEVELT SCHOOL PARK AVE.,Connecticut,Fairfield,Bridgeport,"Bridgeport-Stamford-Norwalk, CT",2017-03-29,[ 41.170833 -73.194722],"{'Commercial and Services': 0.14, 'Residential': 0.63, 'Industrial': 0.04, 'Transportation, communications and services': 0.19}"
9,1,10,88101,1,41.170833,-73.194722,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,55,90,Y,55,61,0,6,0.0,0.0,Certified,0,7.783636,4.106804,22.8,2016-03-07 00:00,20.3,2016-01-07 00:00,13.6,2016-02-12 00:00,13.6,2016-12-14 00:00,,,,,22.8,20.3,13.6,12.8,9.6,6.9,3.7,Roosevelt School-Bridgeport,ROOSEVELT SCHOOL PARK AVE.,Connecticut,Fairfield,Bridgeport,"Bridgeport-Stamford-Norwalk, CT",2017-03-29,[ 41.170833 -73.194722],"{'Commercial and Services': 0.14, 'Residential': 0.63, 'Industrial': 0.04, 'Transportation, communications and services': 0.19}"
